键值(key),翻译(msgstr)
IDS_PASA002,Bogue (old)
IDS_PASA002_FULL,Bogue (< 23.01.2019)
IDS_PASA004,Langley (old)
IDS_PASA004_FULL,Langley (< 23.01.2019)
IDS_PASA006,Independence (old)
IDS_PASA006_FULL,Independence (< 23.01.2019)
IDS_PASA010,Ranger (old)
IDS_PASA010_FULL,Ranger (< 23.01.2019)
IDS_PASA012,Lexington (old)
IDS_PASA012_FULL,Lexington (< 23.01.2019)
IDS_PASA013,Essex (old)
IDS_PASA013_FULL,Essex (< 23.01.2019)
IDS_PASA015,Midway (old)
IDS_PASA015_FULL,Midway (< 23.01.2019)
IDS_PASA020,Essex
IDS_PASA020_FULL,Essex
IDS_PASA026,Independence
IDS_PASA026_FULL,Independence
IDS_PASA028,Yorktown
IDS_PASA028_FULL,Yorktown
IDS_PASA104,Langley
IDS_PASA104_FULL,Langley
IDS_PASA106,Ranger
IDS_PASA106_FULL,Ranger
IDS_PASA108,Lexington
IDS_PASA108_FULL,Lexington
IDS_PASA110,Midway
IDS_PASA110_FULL,Midway
IDS_PASA111,United States
IDS_PASA111_FULL,United States
IDS_PASA507,Saipan (old)
IDS_PASA507_FULL,Saipan (< 23.01.2019)
IDS_PASA508,Enterprise (old)
IDS_PASA508_FULL,Enterprise (< 23.01.2019)
IDS_PASA510,F. D. Roosevelt
IDS_PASA510_FULL,Franklin D. Roosevelt
IDS_PASA518,Enterprise
IDS_PASA518_FULL,Enterprise
IDS_PASA528,Saipan
IDS_PASA528_FULL,Saipan
IDS_PASA538,Hornet
IDS_PASA538_FULL,Hornet
IDS_PASA598,Saipan B
IDS_PASA598_FULL,Saipan B
IDS_PASA898,AL Hornet
IDS_PASA898_FULL,AL Hornet
IDS_PASA906,Ranger
IDS_PASA908,Concord Bridge
IDS_PASA908_FULL,Concord Bridge
IDS_PASA910,Essex
IDS_PASA910_FULL,Essex
IDS_PASA915,[Midway]
IDS_PASA915_FULL,[Midway]
IDS_PASA920,Piñatapolis
IDS_PASA920_FULL,Piñatapolis
IDS_PASB001,S. Carolina
IDS_PASB001_FULL,South Carolina
IDS_PASB004,Wyoming
IDS_PASB004_FULL,Wyoming
IDS_PASB006,New York
IDS_PASB006_FULL,New York
IDS_PASB008,Colorado
IDS_PASB008_FULL,Colorado
IDS_PASB012,N. Carolina
IDS_PASB012_FULL,North Carolina
