键值(key),翻译(msgstr)
IDS_PASA002,博格（旧）
IDS_PASA002_FULL,博格（2019-01-23 前）
IDS_PASA004,兰利（旧）
IDS_PASA004_FULL,兰利（2019-01-23 前）
IDS_PASA006,独立（旧）
IDS_PASA006_FULL,独立（2019-01-23 前）
IDS_PASA010,游骑兵（旧）
IDS_PASA010_FULL,游骑兵（2019-01-23 前）
IDS_PASA012,列克星敦（旧）
IDS_PASA012_FULL,列克星敦（2019-01-23 前）
IDS_PASA013,埃塞克斯（旧）
IDS_PASA013_FULL,埃塞克斯（2019-01-23 前）
IDS_PASA015,中途岛（旧）
IDS_PASA015_FULL,中途岛（2019-01-23 前）
IDS_PASA020,埃塞克斯
IDS_PASA020_FULL,埃塞克斯
IDS_PASA026,独立
IDS_PASA026_FULL,独立
IDS_PASA028,约克城
IDS_PASA028_FULL,约克城
IDS_PASA104,兰利
IDS_PASA104_FULL,兰利
IDS_PASA106,游骑兵
IDS_PASA106_FULL,游骑兵
IDS_PASA108,列克星敦
IDS_PASA108_FULL,列克星敦
IDS_PASA110,中途岛
IDS_PASA110_FULL,中途岛
IDS_PASA111,合众国
IDS_PASA111_FULL,合众国
IDS_PASA507,塞班（旧）
IDS_PASA507_FULL,塞班（2019-01-23 前）
IDS_PASA508,企业（旧）
IDS_PASA508_FULL,企业（2019-01-23 前）
IDS_PASA510,F·D·罗斯福
IDS_PASA510_FULL,富兰克林·D·罗斯福
IDS_PASA518,企业
IDS_PASA518_FULL,企业
IDS_PASA528,塞班
IDS_PASA528_FULL,塞班
IDS_PASA538,大黄蜂
IDS_PASA538_FULL,大黄蜂
IDS_PASA598,塞班 B
IDS_PASA598_FULL,塞班 B
IDS_PASA898,AL 大黄蜂
IDS_PASA898_FULL,AL 大黄蜂
IDS_PASA906,突击者
IDS_PASA908,康科德桥
IDS_PASA908_FULL,康科德桥
IDS_PASA910,埃塞克斯
IDS_PASA910_FULL,埃塞克斯
IDS_PASA915,[中途岛]
IDS_PASA915_FULL,[中途岛]
IDS_PASA920,饺子皮-皮纳塔之城
IDS_PASA920_FULL,饺子皮-皮纳塔之城
IDS_PASB001,南卡罗来纳
IDS_PASB001_FULL,南卡罗来纳
IDS_PASB004,怀俄明
IDS_PASB004_FULL,怀俄明
IDS_PASB006,纽约
IDS_PASB006_FULL,纽约
IDS_PASB008,科罗拉多
IDS_PASB008_FULL,科罗拉多
IDS_PASB012,北卡罗来纳
IDS_PASB012_FULL,北卡罗来纳
IDS_PASB013,阿肯色 B
IDS_PASB013_FULL,阿肯色 B
IDS_PASB017,蒙大拿
IDS_PASB017_FULL,蒙大拿
IDS_PASB018,衣阿华
IDS_PASB018_FULL,衣阿华
IDS_PASB034,新墨西哥
IDS_PASB034_FULL,新墨西哥
IDS_PASB108,堪萨斯
IDS_PASB108_FULL,堪萨斯
IDS_PASB109,明尼苏达
IDS_PASB109_FULL,明尼苏达
IDS_PASB110,佛蒙特
IDS_PASB110_FULL,佛蒙特
IDS_PASB111,缅因
IDS_PASB111_FULL,缅因
IDS_PASB208,内布拉斯加
IDS_PASB208_FULL,内布拉斯加
IDS_PASB209,特拉华
IDS_PASB209_FULL,特拉华
IDS_PASB210,路易斯安那
IDS_PASB210_FULL,路易斯安那
IDS_PASB505,俄克拉荷马
IDS_PASB505_FULL,俄克拉荷马
IDS_PASB506,亚利桑那
IDS_PASB506_FULL,亚利桑那
IDS_PASB507,西弗吉尼亚 1941
IDS_PASB507_FULL,西弗吉尼亚 1941
IDS_PASB508,阿拉巴马
IDS_PASB508_FULL,阿拉巴马
IDS_PASB509,密苏里
IDS_PASB509_FULL,密苏里
IDS_PASB510,俄亥俄
IDS_PASB510_FULL,俄亥俄
IDS_PASB517,佛罗里达
IDS_PASB517_FULL,佛罗里达
IDS_PASB518,马萨诸塞
IDS_PASB518_FULL,马萨诸塞
IDS_PASB519,基尔萨奇
IDS_PASB519_FULL,基尔萨奇
IDS_PASB527,西弗吉尼亚 1944
IDS_PASB527_FULL,西弗吉尼亚 1944
IDS_PASB528,亚拉巴马 VL
IDS_PASB528_FULL,亚拉巴马 VL
IDS_PASB538,星座
IDS_PASB538_FULL,星座
IDS_PASB539,伊利诺伊
IDS_PASB539_FULL,伊利诺伊
IDS_PASB598,马萨诸塞 B
IDS_PASB598_FULL,马萨诸塞 B
IDS_PASB599,基尔萨奇 B
IDS_PASB599_FULL,基尔萨奇 B
IDS_PASB705,德克萨斯
IDS_PASB705_FULL,德克萨斯
IDS_PASB707,加利福尼亚
IDS_PASB707_FULL,加利福尼亚
IDS_PASB708,亚拉巴马 ST
IDS_PASB708_FULL,阿拉巴马 ST
IDS_PASB710,俄勒冈
IDS_PASB710_FULL,俄勒冈
IDS_PASB718,田纳西
IDS_PASB718_FULL,田纳西
IDS_PASB719,印第安纳
IDS_PASB719_FULL,印第安纳
IDS_PASB720,罗德岛
IDS_PASB720_FULL,罗德岛
IDS_PASB729,佐治亚
IDS_PASB729_FULL,佐治亚
IDS_PASB730,威斯康星
IDS_PASB730_FULL,威斯康星
IDS_PASB801,南卡罗来纳
IDS_PASB802,密歇根
IDS_PASB808,北卡罗来纳 CLR
IDS_PASB808_FULL,北卡罗来纳 CLR
IDS_PASB810,蒙大拿 P
IDS_PASB810_FULL,蒙大拿 P
IDS_PASB818,阿拉巴马 B
IDS_PASB818_FULL,阿拉巴马 B
IDS_PASB820,BA 蒙大拿
IDS_PASB820_FULL,BA 蒙大拿
IDS_PASB889,AL 基尔萨奇
IDS_PASB889_FULL,AL 基尔萨奇
IDS_PASB891,缅因 +
IDS_PASB891_FULL,缅因 +
IDS_PASB899,志愿者之州
IDS_PASB899_FULL,志愿者之州
IDS_PASB908,凯珀
IDS_PASB908_FULL,凯珀
IDS_PASB909,鸟鸣
IDS_PASB909_FULL,鸟鸣
IDS_PASB910,康涅狄格
IDS_PASB910_FULL,康涅狄格
IDS_PASB917,[蒙大拿]
IDS_PASB917_FULL,[蒙大拿]
IDS_PASB918,AL 马萨诸塞
IDS_PASB918_FULL,AL 马萨诸塞
IDS_PASB919,衣阿华 2
IDS_PASB919_FULL,衣阿华 2
IDS_PASB920,蒙大拿 2
IDS_PASB920_FULL,蒙大拿 2
IDS_PASB930,罗德岛 B
IDS_PASB930_FULL,罗德岛 B
IDS_PASB940,威斯康星 G
IDS_PASB940_FULL,威斯康星 G
IDS_PASB990,犹他
IDS_PASB990_FULL,犹他
IDS_PASB997,科罗拉多 2
IDS_PASB997_FULL,科罗拉多 2
IDS_PASB998,北卡罗来纳 2
IDS_PASB998_FULL,北卡罗来纳 2
IDS_PASC001,伊利
IDS_PASC001_FULL,伊利
IDS_PASC002,切斯特
IDS_PASC002_FULL,切斯特
IDS_PASC003,奥尔巴尼
IDS_PASC003_FULL,奥尔巴尼
IDS_PASC004,圣路易斯
IDS_PASC004_FULL,圣路易斯
IDS_PASC005,奥马哈
IDS_PASC005_FULL,奥马哈
IDS_PASC006,亚特兰大
IDS_PASC006_FULL,亚特兰大
IDS_PASC007,克利夫兰（旧）
IDS_PASC007_FULL,克利夫兰（2018.05.31 前）
IDS_PASC011,杰克逊维尔
IDS_PASC011_FULL,杰克逊维尔
IDS_PASC012,彭萨科拉（旧）
IDS_PASC012_FULL,彭萨科拉（2018.05.31 前）
IDS_PASC014,新奥尔良（旧）
IDS_PASC014_FULL,新奥尔良（2018.05.31 前）
IDS_PASC016,伍斯特
IDS_PASC016_FULL,伍斯特
IDS_PASC017,巴尔的摩（旧）
IDS_PASC017_FULL,巴尔的摩（2018.05.31 前）
IDS_PASC019,水牛城
IDS_PASC019_FULL,水牛城
IDS_PASC020,得梅因
IDS_PASC020_FULL,得梅因
IDS_PASC024,凤凰城
IDS_PASC024_FULL,凤凰城
IDS_PASC039,彭萨克拉 1930
IDS_PASC039_FULL,彭萨克拉 1930
IDS_PASC044,马布尔黑德
IDS_PASC044_FULL,马布尔黑德
IDS_PASC045,马布尔黑德 L
IDS_PASC045_FULL,马布尔黑德 L
IDS_PASC106,彭萨科拉
IDS_PASC106_FULL,彭萨科拉
IDS_PASC107,新奥尔良
IDS_PASC107_FULL,新奥尔良
IDS_PASC108,巴尔的摩
IDS_PASC108_FULL,巴尔的摩
IDS_PASC109,水牛城
IDS_PASC109_FULL,水牛城
IDS_PASC111,安纳波利斯
IDS_PASC111_FULL,安纳波利斯
IDS_PASC206,达拉斯
IDS_PASC206_FULL,达拉斯
IDS_PASC207,海伦娜
IDS_PASC207_FULL,海伦娜
IDS_PASC208,克利夫兰
IDS_PASC208_FULL,克利夫兰
IDS_PASC209,西雅图
IDS_PASC209_FULL,西雅图
IDS_PASC210,伍斯特
IDS_PASC210_FULL,伍斯特
IDS_PASC503,查尔斯顿
IDS_PASC503_FULL,查尔斯顿
IDS_PASC505,受害骷髅
IDS_PASC505_FULL,受害骷髅
IDS_PASC507,印第安纳波利斯
IDS_PASC507_FULL,印第安纳波利斯
IDS_PASC508,威奇塔
IDS_PASC508_FULL,威奇塔
IDS_PASC509,瓦列霍
IDS_PASC509_FULL,瓦列霍
