键值(key),翻译(msgstr)
IDS_PASA002,博格
IDS_PASA002_FULL,博格 (< 23.01.2019)
IDS_PASA004,兰利
IDS_PASA004_FULL,兰利 (< 23.01.2019)
IDS_PASA006,独立
IDS_PASA006_FULL,独立 (< 23.01.2019)
IDS_PASA010,突击者
IDS_PASA010_FULL,突击者 (< 23.01.2019)
IDS_PASA012,列克星敦
IDS_PASA012_FULL,列克星敦 (< 23.01.2019)
IDS_PASA013,埃塞克斯
IDS_PASA013_FULL,埃塞克斯 (< 23.01.2019)
IDS_PASA015,中途岛
IDS_PASA015_FULL,中途岛 (< 23.01.2019)
IDS_PASA020,埃塞克斯
IDS_PASA020_FULL,埃塞克斯
IDS_PASA026,独立
IDS_PASA026_FULL,独立
IDS_PASA028,约克城
IDS_PASA028_FULL,约克城
IDS_PASA104,兰利
IDS_PASA104_FULL,兰利
IDS_PASA106,突击者
IDS_PASA106_FULL,突击者
IDS_PASA108,列克星敦
IDS_PASA108_FULL,列克星敦
IDS_PASA110,中途岛
IDS_PASA110_FULL,中途岛
IDS_PASA111,合众国
IDS_PASA111_FULL,合众国
IDS_PASA507,塞班
IDS_PASA507_FULL,塞班 (< 23.01.2019)
IDS_PASA508,企业
IDS_PASA508_FULL,企业 (< 23.01.2019)
IDS_PASA510,富兰克林
IDS_PASA510_FULL,富兰克林
IDS_PASA518,企业
IDS_PASA518_FULL,企业
IDS_PASA528,塞班
IDS_PASA528_FULL,塞班
IDS_PASA538,大黄蜂
IDS_PASA538_FULL,大黄蜂
IDS_PASA598,塞班 (黑)
IDS_PASA598_FULL,塞班 (黑)
IDS_PASA898,AL 大黄蜂
IDS_PASA898_FULL,AL 大黄蜂
IDS_PASA906,突击者
IDS_PASA908,康科德桥
IDS_PASA908_FULL,康科德桥
IDS_PASA910,埃塞克斯
IDS_PASA910_FULL,埃塞克斯
IDS_PASA915,[中途岛]
IDS_PASA915_FULL,[中途岛]
IDS_PASA920,饺子皮
IDS_PASA920_FULL,饺子皮
IDS_PASB001,南卡罗来纳
IDS_PASB001_FULL,南卡罗来纳
IDS_PASB004,怀俄明
IDS_PASB004_FULL,怀俄明
IDS_PASB006,纽约
IDS_PASB006_FULL,纽约
IDS_PASB008,科罗拉多
IDS_PASB008_FULL,科罗拉多
IDS_PASB012,北卡罗来纳
IDS_PASB012_FULL,北卡罗来纳
IDS_PASB013,阿肯色
IDS_PASB013_FULL,阿肯色
IDS_PASB017,蒙大拿
IDS_PASB017_FULL,蒙大拿
IDS_PASB018,依阿华
IDS_PASB018_FULL,依阿华
IDS_PASB034,新墨西哥
IDS_PASB034_FULL,新墨西哥
IDS_PASB108,堪萨斯
IDS_PASB108_FULL,堪萨斯
IDS_PASB109,明尼苏达
IDS_PASB109_FULL,明尼苏达
IDS_PASB110,佛蒙特
IDS_PASB110_FULL,佛蒙特
IDS_PASB111,缅因
IDS_PASB111_FULL,缅因
IDS_PASB208,内布拉斯加
IDS_PASB208_FULL,内布拉斯加
IDS_PASB209,特拉华
IDS_PASB209_FULL,特拉华
IDS_PASB210,路易斯安那
IDS_PASB210_FULL,路易斯安那
IDS_PASB505,俄克拉荷马
IDS_PASB505_FULL,俄克拉荷马
IDS_PASB506,亚利桑那
IDS_PASB506_FULL,亚利桑那
IDS_PASB507,西弗吉尼亚 '41
IDS_PASB507_FULL,西弗吉尼亚 '41
IDS_PASB508,阿拉巴马
IDS_PASB508_FULL,阿拉巴马
IDS_PASB509,密苏里
IDS_PASB509_FULL,密苏里
IDS_PASB510,俄亥俄
IDS_PASB510_FULL,俄亥俄
IDS_PASB517,佛罗里达
IDS_PASB517_FULL,佛罗里达
IDS_PASB518,马萨诸塞
IDS_PASB518_FULL,马萨诸塞
IDS_PASB519,基尔萨奇
IDS_PASB519_FULL,基尔萨奇
IDS_PASB527,西弗吉尼亚 '44
IDS_PASB527_FULL,西弗吉尼亚 '44
IDS_PASB528,阿拉巴马 VL
IDS_PASB528_FULL,阿拉巴马 VL
IDS_PASB538,星座
IDS_PASB538_FULL,星座
IDS_PASB539,伊利诺伊
IDS_PASB539_FULL,伊利诺伊
IDS_PASB598,马萨诸塞 (黑)
IDS_PASB598_FULL,马萨诸塞 (黑)
IDS_PASB599,基尔萨奇 （黑）
IDS_PASB599_FULL,基尔萨奇 （黑）
IDS_PASB705,德克萨斯
IDS_PASB705_FULL,德克萨斯
IDS_PASB707,加利福尼亚
IDS_PASB707_FULL,加利福尼亚
IDS_PASB708,阿拉巴马
IDS_PASB708_FULL,阿拉巴马
IDS_PASB710,俄勒冈
IDS_PASB710_FULL,俄勒冈
IDS_PASB718,田纳西
IDS_PASB718_FULL,田纳西
IDS_PASB719,印第安纳
IDS_PASB719_FULL,印第安纳
IDS_PASB720,罗德岛
IDS_PASB720_FULL,罗德岛
IDS_PASB729,乔治亚
IDS_PASB729_FULL,乔治亚
IDS_PASB730,威斯康星
IDS_PASB730_FULL,威斯康星
IDS_PASB801,南卡罗来纳
IDS_PASB802,密歇根
IDS_PASB808,北卡罗来纳 炫彩
